^,a9,Main language spoken at home
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i4k,Talks to me about the commercial activities I am exposed to online
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i5a,Told my parent/carer about things that bother or upset me on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i5b,Helped my parent/carer to do something they found difficult on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i5c,Started a discussion with my parent/carer about what I do on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i5d,Asked for my parent's/carer's advice on how I should act online
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i5e,Asked my parent/carer for something that I have seen advertised online
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i5f,Ask for your parent's/carer's help with a situation on the internet that I could not handle
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i6a,Use a web or phone camera (e.g.; for Skype or video chat)
a,1, I am allowed to do this anytime
b,2, I am allowed to do this with permission or supervision
b,3, I am not allowed do this
x,4, Prefer not to say
^,i6b,Download music or films
a,1, I am allowed to do this anytime
b,2, I am allowed to do this with permission or supervision
b,3, I am not allowed do this
x,4, Prefer not to say
^,i6c,Visit a social networking site (e.g.; Facebook; [insert local terms])
a,1, I am allowed to do this anytime
b,2, I am allowed to do this with permission or supervision
b,3, I am not allowed do this
x,4, Prefer not to say
^,i6d,Watch video clips (e.g.; on YouTube)
a,1, I am allowed to do this anytime
b,2, I am allowed to do this with permission or supervision
b,3, I am not allowed do this
x,4, Prefer not to say
^,i6e,Play games with other people online
a,1, I am allowed to do this anytime
b,2, I am allowed to do this with permission or supervision
b,3, I am not allowed do this
x,4, Prefer not to say
^,i6f,Visit a chat room
a,1, I am allowed to do this anytime
b,2, I am allowed to do this with permission or supervision
b,3, I am not allowed do this
x,4, Prefer not to say
^,i6g,Use instant messaging
a,1, I am allowed to do this anytime
b,2, I am allowed to do this with permission or supervision
b,3, I am not allowed do this
x,4, Prefer not to say
^,i6h,Read/watch news online
a,1, I am allowed to do this anytime
b,2, I am allowed to do this with permission or supervision
b,3, I am not allowed do this
x,4, Prefer not to say
^,i6i,Use the internet for school work
a,1, I am allowed to do this anytime
b,2, I am allowed to do this with permission or supervision
b,3, I am not allowed do this
x,4, Prefer not to say
^,i6j,Spend time in a virtual world (e.g.; Habbo; Club Penguin; Minecraft [add examples as needed])
a,1, I am allowed to do this anytime
b,2, I am allowed to do this with permission or supervision
b,3, I am not allowed do this
x,4, Prefer not to say
^,i6k,Put (or post) photos; videos or music online to share with others (including social networking or instant messaging)
a,1, I am allowed to do this anytime
b,2, I am allowed to do this with permission or supervision
b,3, I am not allowed do this
x,4, Prefer not to say
^,i7a,Parental controls or other means of blocking or filtering some types of website
a,1, No
b,2, Yes
x,3, Prefer not to say
^,i7b,Parental controls or other means of keeping track of the websites or apps I visit
a,1, No
b,2, Yes
x,3, Prefer not to say
^,i7c,Rules about how long or when I am allowed to go online
a,1, No
b,2, Yes
x,3, Prefer not to say
^,i7d,A service or contract that limits the time I spend on the internet
a,1, No
b,2, Yes
x,3, Prefer not to say
^,i7e,Software to prevent spam or junk mail/viruses
a,1, No
b,2, Yes
x,3, Prefer not to say
^,i7f,Parental controls that filter the apps I can download
a,1, No
b,2, Yes
x,3, Prefer not to say
^,i7g,Parental controls that alert my parent/carer when I want to buy content (in-app purchase)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,i7h,Software that limits the people I can be in touch with (through voice calls and SMS/TEXT MMS)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,i7i,Ad blocking software
a,1, No
b,2, Yes
x,3, Prefer not to say
^,i8a,Which friends or contacts you add to my social networking profile/instant messaging service
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i8b,The messages in my email or other app for communicating with people
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i8c,My profile on a social networking site or online community
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i8d,Which websites I visited
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i8e,The apps I downloaded
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i8f,The in-app purchases I made
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,j1,How much do you like school at present?
a,1, I don't like it at all
a,2, I don't like it very much
b,3, I like it a bit
b,4, I like it a lot
x,5, Prefer not to say
^,j5a,Suggested ways to use the internet safely
a,1, Never
a,2, Hardly ever
b,4, Often
b,5, Very often
c,3, Sometimes
x,6, Prefer not to say
^,j5b,Encouraged me to explore and learn things on the internet
a,1, Never
a,2, Hardly ever
b,4, Often
b,5, Very often
c,3, Sometimes
x,6, Prefer not to say
^,j5c,Made rules about what I can do on the internet at school
a,1, Never
a,2, Hardly ever
b,4, Often
b,5, Very often
c,3, Sometimes
x,6, Prefer not to say
^,j5d,Helped me when I found something difficult to do or find on the internet
a,1, Never
a,2, Hardly ever
b,4, Often
b,5, Very often
c,3, Sometimes
x,6, Prefer not to say
^,j5e,Talked to me about what I do on the internet
a,1, Never
a,2, Hardly ever
b,4, Often
b,5, Very often
c,3, Sometimes
x,6, Prefer not to say
^,j5f,Explained why some websites are good or bad
a,1, Never
a,2, Hardly ever
b,4, Often
b,5, Very often
c,3, Sometimes
x,6, Prefer not to say
^,j5g,Suggested ways to behave towards other people online
a,1, Never
a,2, Hardly ever
b,4, Often
b,5, Very often
c,3, Sometimes
x,6, Prefer not to say
^,j5h,Helped me in the past when something has bothered me on the internet
a,1, Never
a,2, Hardly ever
b,4, Often
b,5, Very often
c,3, Sometimes
x,6, Prefer not to say
^,j5i,In general; talked to me about what I would do if something on the internet ever bothered me
a,1, Never
a,2, Hardly ever
b,4, Often
b,5, Very often
c,3, Sometimes
x,6, Prefer not to say
^,k1a,My friends really try to help me
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,k1b,I can count on my friends when things go wrong
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,k1c,I can talk about my problems with my friends
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,k1d,I get worried when I �?nd out my friends are having fun without me 
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,k2a,Suggested ways to use the internet safely
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,k2b,Encouraged me to explore and learn things on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,k2c,Helped me when I found something difficult to do on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,k2d,Explained why some websites are good or bad
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,k2e,Suggested ways to behave towards other people on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,k2f,Helped me in the past when something has bothered me on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,k3,Have you suggested to your friends ways to use the internet safely?
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,k4a,I feel safe in the area where I live
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,k4b,It is safe for younger children to play outside during the day
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,k4c,You can trust people around here
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a14,How often do you get some new clothes to wear?
a,1, Hardly ever
b,2, Once or twice a year
b,3, Every few months
b,4, Every few weeks
x,5, Prefer not to say
^,a15,How easily can you find a quiet place to study or do homework?
a,1, Not at all
b,2, Not very easily
b,3, Quite easily
b,4, Very easily
x,5, Prefer not to say
^,a16,How often do you go on holiday [for at least one week] away from home?
a,1, Hardly ever
b,2, Once or twice a year
b,3, Every few months
b,4, Every few weeks
x,5, Prefer not to say
^,a17,How often do you have fresh fruit and vegetables to eat?
a,1, Less than once a month
b,2, Once or twice a month
b,3, Once or twice a week
b,4, Every day or almost every day
x,5, Prefer not to say
^,a17a,How often do you have fish or meat to eat?
a,1, Less than once a month
b,2, Once or twice a month
b,3, Once or twice a week
b,4, Every day or almost every day
x,5, Prefer not to say
^,a18,Do you have at least two pairs of properly fitting shoes? [include: boots; sandals; trainers; etc.]
a,1, No
b,2, Yes
x,3, Prefer not to say
^,a19,How often do you get some new games or toys to play with?
a,1, Hardly ever
b,2, Once or twice a year
b,3, Every few months
b,4, Every few weeks
x,5, Prefer not to say
^,a20a,I get very angry and often lose my temper
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20b,I usually do as I am told
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20c,I fight a lot; I can make other people do what I want
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20d,I am often accused of lying or cheating
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20e,I take things that are not mine from home; school or elsewhere
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20f,I worry a lot
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20g,I am nervous in certain new situations; I easily lose confidence
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20h,I get a lot of headaches; stomach-aches or sickness
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20i,I am often unhappy; sad or tearful
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20j,I have many fears and I am easily scared
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20k,I am restless; I cannot stay still for long
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20l,I finish the work I'm doing. My attention is good
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20n,I am easily distracted and find it difficult to concentrate
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20o,I think before I do things
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20p,Other people my age generally like me
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20q,Other children or young people pick on me
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20r,I am usually on my own; I generally play alone or keep to myself
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20s,I have at least one good friend
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20t,I get on better with adults than with people my own age
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20u,I am helpful if someone is hurt; upset or feeling ill
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20v,I try to be nice to other people. I care about their feelings
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20w,I often volunteer to help others (e.g.; parents; carers; teachers; children)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a20x,I usually share with others (food; games; pens etc.)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a21a,Other children are treated better than me
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a21b,People seem to think I am not smart
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a21c,People seem to think they’re better than me
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a21d,I get called names or insulted by other children
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a22a,Because of where my family is from
a,0, No
b,1, Yes
^,a22b,Because of my skin colour
a,0, No
b,1, Yes
^,a22c,Because of my religion
a,0, No
b,1, Yes
^,a22d,Because of my height or weight
a,0, No
b,1, Yes
^,a22e,Because of a disability
a,0, No
b,1, Yes
^,a22f,Because of not having enough money
a,0, No
b,1, Yes
^,a22g,Because of my sexual orientation
a,0, No
b,1, Yes
^,a22h,Because of how I look or behave
a,0, No
b,1, Yes
^,a22i,Because of my opinions or beliefs
a,0, No
b,1, Yes
^,a22j,Because of my attitude
a,0, No
b,1, Yes
^,a22k,Because my parents are not around (i.e.; OFW)
a,0, No
b,1, Yes
^,a22l,Because of the ethnic group I belong to
a,0, No
b,1, Yes
^,a22m,Due to conflict / war in our area
a,0, No
b,1, Yes
^,a22n,Because I am not studying (i.e.; out-of-school)
a,0, No
b,1, Yes
^,a22o,Because I do not have a permanent residence / house
a,0, No
b,1, Yes
^,a23,When you were treated this way; how often did it happen on the internet?
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,a24a,I do dangerous things for fun
a,1, Not true
b,2, A bit true
b,3, Very true
x,4, Prefer not to say
^,a24b,I do exciting things; even if they are dangerous
a,1, Not true
b,2, A bit true
b,3, Very true
x,4, Prefer not to say
^,a25a,Had so much alcohol that I got really drunk
a,1, No
b,2, Yes
x,3, Prefer not to say
^,a25b,Missed school lessons without my parent(s)/carer(s) knowing
a,1, No
b,2, Yes
x,3, Prefer not to say
^,a25c,Had sexual intercourse
a,1, No
b,2, Yes
x,3, Prefer not to say
^,a25d,Been in trouble with my teachers for bad behaviour
a,1, No
b,2, Yes
x,3, Prefer not to say
^,a25e,Been in trouble with the police
a,1, No
b,2, Yes
x,3, Prefer not to say
^,a25f,Met personally with someone whom I met online (i.e.; eyeball)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,a26a,I can solve difficult problems if I try hard enough
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a26b,If someone opposes me; I can find ways to get what I want
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a26c,It's easy for me to stick to my aims and achieve my goals
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a26d,I am confident that I can deal with unexpected problems
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a26g,I can stay calm when things get difficult because I am good at coping
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,a27,Ideally; if you are given an opportunity; what level of education do you want to finish?
a,1, Elementary
a,2, High School
b,3, College
b,4, Beyond college degree (MA/MS/MBA/PhD/Law/Medicine)
x,5, Prefer not to say
^,a28,Imagine if given the opportunity to finish your studies or to get your desired career in the future; where do you want to work?
a,1, In the Philippines
a,2, Abroad
a,3, I have other plans--I want to do business. 
b,4, I don't like to work.
x,5, Prefer not to say
^,a29a,When I use the internet; I learn about different things that I could study; do or become what I want to be as productive as possible.
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,a29b,When I use the internet; I feel I want to achieve more in life.
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,g1a,I was sent a message that I did not want with advertisements for or links to X-rated websites [use local term for 'X-rated']
a,1, No
b,2, Yes
c,3, Prefer not to say
^,g1b,I opened a message or a link in a message that showed pictures of naked people or of people having sex that I did not want
a,1, No
b,2, Yes
c,3, Prefer not to say
^,g1c,I have seen or received a sexual message; image or video about someone else that I did not want
a,1, No
b,2, Yes
c,3, Prefer not to say
^,g2a,I have been asked for sexual information about myself (like what my body looks like without clothes on or sexual things I have done) when I did not want to answer such questions
a,1, No
b,2, Yes
c,3, Prefer not to say
^,g2b,I have been asked to talk about sexual acts with someone on the internet when I did not want to
a,1, No
b,2, Yes
c,3, Prefer not to say
^,g2c,I have been asked by someone on the internet to do something sexual when I did not want to
a,1, No
b,2, Yes
c,3, Prefer not to say
^,g2d,I have been asked on the internet for a photo or video showing my private parts [translate as appropriate] when I did not want to
a,1, No
b,2, Yes
c,3, Prefer not to say
^,g3a,I have sent sexual information about myself (like what my body looks like without clothes on or sexual things I have done) when I did not want
a,1, No
b,2, Yes
c,3, Prefer not to say
^,g3b,I have talked about sexual acts with someone on the internet when I did not want to
a,1, No
b,2, Yes
c,3, Prefer not to say
^,g3c,I have done something sexual on the internet when I did not want to
a,1, No
b,2, Yes
c,3, Prefer not to say
^,g3d,I have sent someone a photo or video showing my private parts when I did not want to [translate as appropriate]
a,1, No
b,2, Yes
c,3, Prefer not to say
^,g4,Thinking about the last time when you had unwanted sexual experience (that is; any of G2a-d); did it happen when you were using which of the following?
a,1, A mobile phone that is not a smartphone
a,2, A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc]
b,3, A desktop computer
b,4, A laptop or notebook computer
c,5, A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc]
d,6, A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc]
e,7, Prefer not to say
^,g5,Thinking about the last time when you had unwanted sexual experience (that is; any of G2a-d); who was the person who did this?
a,1, An adult in your family (over 18)
b,2, A child or young person in your family (under 18)
c,3, A romantic partner (or ex-)
d,4, Someone from work
e,5, A friend or acquaintance (over 18) that you knew in person before this
f,6, A friend or acquaintance (under 18) that you knew in person before this
g,7, Someone you first met online who was a contact of a friend or family member
h,8, Someone you met online who had no other connection with your life
i,9, Someone else (specify)
j,10, Prefer not to say
^,g9a,Brother (over 18)
a,0, No
b,1, Yes
^,g9b,Sister (over 18)
a,0, No
b,1, Yes
^,g9c,A younger brother or sister
a,0, No
b,1, Yes
^,g9d,Father or step-/foster father
a,0, No
b,1, Yes
^,g9e,Mother or step-/foster mother
a,0, No
b,1, Yes
^,g9f,Other adult relatives; such as aunts; uncles; or grandparents
a,0, No
b,1, Yes
^,g9g,Friend or acquaintance
a,0, No
b,1, Yes
^,g9h,Teacher/ educator
a,0, No
b,1, Yes
^,g9j,Other adult you trust e.g. coach; neighbour; doctor; or babysitter
a,0, No
b,1, Yes
^,g9i,Other (specify)
a,0, No
b,1, Yes
^,g9k,I didn’t tell anyone about it
a,0, No
b,1, Yes
^,g9l,Prefer not to say
a,0, No
b,1, Yes
^,l41a,My spouse has a paid job locally.
a,0, No
b,1, Yes
^,l41b,My other child/children has a paid job locally.
a,0, No
b,1, Yes
^,l41c,Someone in my family is an overseas Filipino worker (OFW) who provides for us.
a,0, No
b,1, Yes
^,l41d,Some relatives; who are not OFW’s; gives us monthly allowance.
a,0, No
b,1, Yes
^,l41e,Our family has a business. (i.e. sari-sari store; vulcanizing shop; etc.)
a,0, No
b,1, Yes
^,l41f,Our family receives a stipend from the government (i.e. member of 4P’s or any allowance from the local government unit)
a,0, No
b,1, Yes
^,l41g,Others
a,0, No
b,1, Yes
^,l35a,Your child’s health
a,0, No
b,1, Yes
^,l35b,Having enough money to care for your child
a,0, No
b,1, Yes
^,l35c,How your child is doing at school
a,0, No
b,1, Yes
^,l35d,Other children treating your child in a hurtful or nasty way
a,0, No
b,1, Yes
^,l35e,Your child drinking too much alcohol/taking drugs
a,0, No
b,1, Yes
^,l35f,Your child seeing inappropriate material on the internet
a,0, No
b,1, Yes
^,l35g,A stranger contacting your child on the internet
a,0, No
b,1, Yes
^,l35h,Your child’s sexual activities
a,0, No
b,1, Yes
^,l35i,Your child becoming a victim of crime
a,0, No
b,1, Yes
^,l35j,Your child getting into trouble with the police
a,0, No
b,1, Yes
^,l35k,Your child receiving an injury on the roads
a,0, No
b,1, Yes
^,l35l,Other reasons (specify)
a,0, No
b,1, Yes
^,l34a,Physical disability
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l34b,Physical illness
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l34c,Mental health difficulty
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l34d,Behavioural difficulty
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l34e,Learning difficulty
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l34f,Other disability
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l45a,He/she is into sports.
a,0, No
b,1, Yes
^,l45b,He/she likes to read books.
a,0, No
b,1, Yes
^,l45c,He/she likes to play games using a gadget/computer.
a,0, No
b,1, Yes
^,l45d,He/she likes to send messages to friends and relatives using the mobile phone and/or computer.
a,0, No
b,1, Yes
^,l45e,He/she likes to go out with friends.
a,0, No
b,1, Yes
^,l45f,He/she likes music and/or playing musical instruments.
a,0, No
b,1, Yes
^,l45g,He/she likes to take photos and videos.
a,0, No
b,1, Yes
^,l45h,He/she likes to download and upload music; photos and videos in the internet.
a,0, No
b,1, Yes
^,l45i,He/she likes to write short stories; poems; etc.
a,0, No
b,1, Yes
^,l45j,He/she likes to watch movies/short videos in the internet.
a,0, No
b,1, Yes
^,l45k,Others 
a,0, No
b,1, Yes
^,l47a,Play online games.
a,0, No
b,1, Yes
^,l47b,Use online messaging applications to communicate.
a,0, No
b,1, Yes
^,l47c,Upload and download photos and videos.
a,0, No
b,1, Yes
^,l47d,Use the webcam.
a,0, No
b,1, Yes
^,l47e,Chat using a chatroom.
a,0, No
b,1, Yes
^,l47f,Use the internet to help in research or homework.
a,0, No
b,1, Yes
^,l47g,Watch movies/short videos in the internet.
a,0, No
b,1, Yes
^,l47h,Others (specify)
a,0, No
b,1, Yes
^,l6a,At work
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l6b,At home
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l6c,In the home of friends or relatives
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily of almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l6d,In a public place (for example; In libraries; cafes; computer shops)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l6e,When I am on my way somewhere (e.g.; on the street; in a bus or car)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l6f,When I am somewhere by myself
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l7a,A mobile phone that is not a smartphone
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l7b,A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc]
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l7c,A desktop computer
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l7d,A laptop or notebook computer
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l7e,A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc]
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l7f,A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc]
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily of almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l8a,I know how to save a photo that I find online
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8b,I know how to change my privacy settings (e.g. on a social networking site)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8c,I know how to use a programming language (e.g. HTML; XML; etc.)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8f1,I know how to jailbreak; crack games and apps; change IP address
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8f2,I know how to hide my IP address
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8f3,I know how to set network settings (LAN; wi-fi; device-connection)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8f4,I know how to hack certain files
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8f5,I know how to set the firewall
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8i,I find it easy to find a website I have visited before
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8g,I find it easy to check if the information I find online is true
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8h,I find it easy to choose the best keywords for online searches
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8k,Sometimes I end up on websites without knowing how I got there
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
